mintime,lat,lon,alt,velocity,heading,vertrate,nic,nac,icao24
2019-09-17 07:00:48.822,35.0712611376612,-117.293030285695,4061.62487102106,89.7058472642606,269.720532186338,0.0450350580357163,9,0.0327067669172932,ae0943
2019-09-17 07:00:49.822,35.0712572914026,-117.29400206234,4061.64545076854,86.4632503042821,269.69407256049,-0.00921748326204001,9,0.0327067669172932,ae0943
2019-09-17 07:00:51.744,35.0712456137447,-117.29564666748,4061.46,81.0962335533599,269.363508837864,-0.203492884909369,9,0.625900851714348,ae0943
2019-09-17 07:00:51.955,35.0712432861328,-117.295644331951,4061.46,81.1077841354177,269.380375564953,-0.210983638348985,9,0.648940816772221,ae0943
2019-09-17 07:00:55.006,35.0711990615069,-117.298450469971,4053.84,81.2748022674487,269.624263642424,-0.319297803013758,9,0.982092159860231,ae0943
2019-09-17 07:00:55.135,35.0711975097656,-117.298446966677,4053.84,81.2818639977116,269.634575527706,-0.323877457960253,9,0.99617820484822,ae0943
2019-09-17 07:00:55.635,35.0711957145883,-117.298839193846,4053.71619131404,75.9908572315294,269.797148406349,-0.176380080447605,9,0.0966165413533835,ae0943
2019-09-17 07:00:56.635,35.0711957661687,-117.299747849572,4053.65214904906,87.9384857801233,270.165042711929,0.0282043721815709,9,0.0966165413533835,ae0943
2019-09-17 07:00:57.635,35.0711991024142,-117.300736108418,4053.73241770179,90.4900797459581,270.253494492309,0.112241754949253,9,0.0966165413533835,ae0943
2019-09-17 07:00:59.678,35.0711990615069,-117.302570343018,4053.84,81.2837799710387,269.637373326038,-0.0907813374170495,9,0.720775906074528,ae0943
2019-09-17 07:00:59.750,35.0711975097656,-117.302594866071,4053.84,81.2837799710387,269.637373326038,-0.0788320571720265,9,0.757529351710056,ae0943
2019-09-17 07:01:00.589,35.0711975097656,-117.303547761878,4053.84,81.2837799710387,269.637373326038,0,9,0,ae0943
2019-09-17 07:01:00.743,35.0711990615069,-117.30354309082,4053.84,81.2837799710387,269.637373326038,0,9,0,ae0943
2019-09-17 07:01:01.680,35.0711975097656,-117.30444460499,4053.84,81.2822049421476,269.988207262635,0.314546991869919,9,1,ae0943
2019-09-17 07:01:01.766,35.0711990615069,-117.304458618164,4053.84,81.282152,270,0.32512,9,0.595628415300546,ae0943
2019-09-17 07:01:02.238,35.0711990615069,-117.304916381836,4053.84,81.282152,270,0.32601564738292,9,1,ae0943
2019-09-17 07:01:02.322,35.0711975097656,-117.304893026547,4053.84,81.282152,270,0.401250027548209,9,1,ae0943
2019-09-17 07:01:02.600,35.0711975097656,-117.305341448103,4053.84,81.282152,270,0.65024,9,1,ae0943
2019-09-17 07:01:02.766,35.0711990615069,-117.305316925049,4053.84,81.282152,270,0.65024,9,0.205588822355289,ae0943
2019-09-17 07:01:03.164,35.0711975097656,-117.30567776427,4053.84,81.282152,270,0.65024,9,1,ae0943
2019-09-17 07:01:03.223,35.0711990615069,-117.305660247803,4053.84,81.282152,270,0.65024,9,0,ae0943
2019-09-17 07:01:03.536,35.0711990615069,-117.306118011475,4053.84,81.282152,270,0.65024,9,0,ae0943
